,0
0,0.10563608
1,0.17033541
2,0.106617905
3,0.106617905
4,0.106617905
5,0.12183003
6,0.36779344
7,0.09140462
8,0.18501295
9,0.24493831
10,0.33064377
11,0.22688445
12,0.28682378
13,0.18246545
14,0.19792062
15,0.2770048
16,0.1126887
17,0.21782319
18,0.08419487
19,0.08419487
20,0.089670494
21,0.089670494
22,0.0922836
23,0.120462894
24,0.10473128
25,0.10473128
26,0.26447278
27,0.13957085
28,0.085086346
29,0.33770636
30,0.055080935
31,0.26298377
32,0.24335597
33,0.062371098
34,0.07710726
35,0.073805004
36,0.29200667
37,0.20642324
38,0.22425577
39,0.19467737
40,0.23544784
41,0.27891597
42,0.2459966
43,0.2989008
44,0.060344983
45,0.27908796
46,0.22387432
47,0.22716093
48,0.16680361
49,0.20894144
50,0.3603549
51,0.29012898
52,0.26170573
53,0.0949091
54,0.22727856
55,0.17837416
56,0.27123412
57,0.16751035
58,0.16751035
59,0.17329586
60,0.088413976
61,0.22994952
62,0.22994952
63,0.25548017
64,0.25548017
65,0.2188972
66,0.21465069
67,0.13672318
68,0.15697832
69,0.13672318
70,0.28654742
71,0.3834172
72,0.060215045
73,0.109810285
74,0.3834172
75,0.3834172
76,0.3834172
77,0.13681357
78,0.21880236
79,0.21518287
80,0.3748616
81,0.2929462
82,0.22079124
83,0.15168229
84,0.27040425
85,0.058800552
86,0.058800552
87,0.23011705
88,0.23901816
89,0.24239078
90,0.14242631
91,0.16483386
92,0.14242631
93,0.14820342
94,0.06843952
95,0.07589188
96,0.073601924
97,0.15031107
98,0.23109159
99,0.12019648
100,0.0831478
101,0.18233454
102,0.29088253
103,0.07454678
104,0.19663279
105,0.2023402
106,0.20856343
107,0.23559982
108,0.20172958
109,0.089443296
110,0.08382181
111,0.2866045
112,0.22714694
113,0.2965279
114,0.22714694
115,0.28819275
116,0.226331
117,0.2828642
118,0.10918206
119,0.2510063
120,0.15547118
121,0.16336447
122,0.27644408
123,0.27232623
124,0.30113232
125,0.26285028
126,0.27341354
127,0.30683511
128,0.13433614
129,0.13433614
130,0.18857883
131,0.1906144
132,0.090543784
133,0.20669758
134,0.20669758
135,0.33679423
136,0.18328972
137,0.019352637
138,0.0855005
139,0.28862014
140,0.19389153
141,0.28481188
142,0.35054725
143,0.28481188
144,0.050514054
145,0.06466321
146,0.13076465
147,0.29119596
148,0.29119596
149,0.14415869
150,0.25382814
151,0.11121846
152,0.25523174
153,0.25523174
154,0.1806498
155,0.1806498
156,0.1806498
157,0.2701402
158,0.16044703
159,0.22648606
160,0.16044703
161,0.17460917
162,0.14780898
163,0.1519751
164,0.24485783
165,0.25321403
166,0.29393885
167,0.20025693
168,0.3297593
169,0.1606493
170,0.31805167
171,0.17781107
172,0.42025748
173,0.33197305
174,0.26062325
175,0.16237551
176,0.29066133
177,0.20807494
178,0.21937732
179,0.18749274
180,0.3750105
181,0.3750105
182,0.061036013
183,0.24197502
184,0.22536369
185,0.21558814
186,0.21558814
187,0.41411662
188,0.18984608
189,0.21646218
190,0.050607525
191,0.051550776
192,0.2287292
193,0.2287292
194,0.026903728
195,0.2191811
196,0.33260712
197,0.29510936
198,0.21516384
199,0.31805292
200,0.31805292
201,0.31805292
202,0.16255571
203,0.31362236
204,0.079152316
205,0.26225403
206,0.18144841
207,0.25407186
208,0.12075536
209,0.2643976
210,0.5594442
211,0.42035657
212,0.10706081
213,0.224467
214,0.224467
215,0.18301529
216,0.14428923
217,0.2078872
218,0.18630628
219,0.31082678
220,0.07248103
221,0.07248103
222,0.32435352
223,0.083834924
224,0.090962164
225,0.16954876
226,0.1526942
227,0.38923192
228,0.29411054
229,0.31298575
230,0.1442709
231,0.046477363
232,0.35036796
233,0.33556053
234,0.11896448
235,0.27777693
236,0.100190535
237,0.13437682
238,0.1772233
239,0.04807587
240,0.29794532
241,0.30653307
242,0.21563418
243,0.052082006
244,0.375993
245,0.35164052
246,0.13292702
247,0.06612041
248,0.24248181
249,0.20624635
250,0.07505744
251,0.148299
252,0.23202346
253,0.23368616
254,0.2766669
255,0.15839487
256,0.2766669
257,0.15839487
258,0.14842921
259,0.20509832
260,0.25384054
261,0.17277215
262,0.21405989
263,0.273902
264,0.19044042
265,0.20836495
266,0.20836495
267,0.17828059
268,0.078120016
269,0.19033666
270,0.07230746
271,0.17482664
272,0.33652055
273,0.32241288
274,0.20747235
275,0.2568861
276,0.19629945
277,0.19629945
278,0.20343424
279,0.25514317
280,0.19661835
281,0.17308654
282,0.23980008
283,0.18455727
284,0.1647884
285,0.18455727
286,0.12618501
287,0.3601636
288,0.23587167
289,0.2021568
290,0.22813773
291,0.33257994
292,0.30997813
293,0.35866797
294,0.04779172
295,0.2835003
296,0.3106405
297,0.2770737
298,0.21594602
299,0.094025314
300,0.20911667
301,0.3524235
302,0.3524235
303,0.23241472
304,0.055938784
305,0.13262062
306,0.31286308
307,0.31286308
308,0.061857488
309,0.2785311
310,0.07441336
311,0.2785311
312,0.1990861
313,0.19613974
314,0.1661307
315,0.27052015
316,0.17219631
317,0.1164845
318,0.20849924
319,0.19367613
320,0.27206188
321,0.16168159
322,0.021981047
323,0.22792386
324,0.22792386
